POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM
JTG Trading Kaybiga,Standalone,For Opening,"February 19, 2024",M0TQ2WH,NCR North,Charlon Ray Sabulao
Xtreme Appliances Target Mall Sta Rosa,Target Mall Sta Rosa,For Opening,"February 19, 2024",MH5Y9EO,South Luzon 2,Kenneth Mendoza
KUM Home Center Happy Tan Ternate,Standalone,For Opening,"February 19, 2024",MFZNAJ0,South Luzon 1 (A),Christian Klide Alberto
ESLA Baesa 1,Standalone,For Opening,"February 15, 2024",MGEV9TK,NCR North,Charlon Ray Sabulao
ESLA Proper Novaliches,Standalone,For Opening,"February 15, 2024",MBZUA2K,NCR North,Charlon Ray Sabulao
ESLA Susano,Standalone,For Opening,"February 15, 2024",MZ7EHGI,NCR North,Charlon Ray Sabulao
ESLA Bagong Silang,Standalone,For Opening,"February 15, 2024",M6ONKSF,NCR North,Charlon Ray Sabulao
ESLA Camarin,Standalone,For Opening,"February 15, 2024",MJRWCJK,NCR North,Charlon Ray Sabulao
ESLA Zabarte,Zabarte Town Center,For Opening,"February 15, 2024",MCIQ9OJ,NCR North,Charlon Ray Sabulao
ESLA Pasig 2,Standalone,For Opening,"February 15, 2024",MRX4NDS,NCR East,Charm Moltio
ESLA Pasig 3,Standalone,For Opening,"February 15, 2024",MBS5T2W,NCR East,Charm Moltio
ESLA Marikina 1,Standalone,For Opening,"February 15, 2024",M06W4RG,NCR East,Charm Moltio
ESLA Marikina 2,Standalone,For Opening,"February 15, 2024",MTGEZ1S,NCR East,Charm Moltio
ESLA Antipolo,Standalone,For Opening,"February 15, 2024",MDT8FNQ,NCR East,Charm Moltio
ESLA Binangonan Bayan,Standalone,For Opening,"February 15, 2024",MAVILNK,NCR East,Charm Moltio
ESLA Cogeo,Standalone,For Opening,"February 15, 2024",M9N5R2P,NCR East,Charm Moltio
ESLA Montalban 1,Standalone,For Opening,"February 15, 2024",MO9V7YJ,NCR East,Charm Moltio
ESLA Montalban 2,Standalone,For Opening,"February 15, 2024",M9Q3NCO,NCR East,Charm Moltio
ESLA Morong,Standalone,For Opening,"February 15, 2024",MV86NSM,NCR East,Charm Moltio
ESLA San Mateo 1,Standalone,For Opening,"February 15, 2024",MD6S28C,NCR East,Charm Moltio
ESLA Taytay,Standalone,For Opening,"February 15, 2024",MWI9HXN,NCR East,Charm Moltio
ESLA Sta Maria,Standalone,For Opening,"February 15, 2024",M98ER7G,North Luzon 1,Mari Louise Carasig
ESLA Apalit,Standalone,For Opening,"February 15, 2024",M2S4JTX,North Luzon 2,Rachelle Belmonte
ESLA Lipa 1,Standalone,For Opening,"February 15, 2024",M2A8TK9,South Luzon 3,Jan jan Dela Cruz
ESLA Lipa 2,Standalone,For Opening,"February 15, 2024",M3T7VNO,South Luzon 3,Jan jan Dela Cruz
ESLA Nasugbu,Standalone,For Opening,"February 15, 2024",MO0UW6V,South Luzon 3,Jan jan Dela Cruz
ESLA Rosario Batangas,Standalone,For Opening,"February 15, 2024",M0KOA5J,South Luzon 3,Jan jan Dela Cruz
ESLA GMA,Standalone,For Opening,"February 15, 2024",MZX8DI4,South Luzon 1 (A),Christian Klide Alberto
ESLA Rosario Cavite,Standalone,For Opening,"February 15, 2024",MASIKCY,South Luzon 1 (B),Ricky Sarayno
ESLA Santa Rosa,Standalone,For Opening,"February 15, 2024",M9QXTR5,South Luzon 2,Kenneth Mendoza
ESLA Los Banos,Standalone,For Opening,"February 15, 2024",M0DB5LS,South Luzon 2,Kenneth Mendoza
ESLA San Pedro,Standalone,For Opening,"February 15, 2024",MTZNC7R,South Luzon 2,Kenneth Mendoza
ESLA Santa Cruz,Standalone,For Opening,"February 15, 2024",M3NGPA9,South Luzon 2,Kenneth Mendoza
